"id","route_id","label","latitude","longitude","speed","bearing","current_status","updated_at","rn"
"G-10069","Green-E","3852-3707","42.36721","-71.06875","7.6","125.0","INCOMING_AT","2025-08-31T11:02:54-04:00","1"
"G-10084","Green-E","3704-3869","42.34252","-71.08518",,"45.0","STOPPED_AT","2025-08-31T11:02:10-04:00","1"
"G-10121","Green-E","3802-3671","42.35305","-71.06457",,"200.0","INCOMING_AT","2025-08-31T11:02:13-04:00","1"
"1860","CR-NewBedford","1860","42.35002899169922","-71.05582427978516","3.6",,"IN_TRANSIT_TO","2025-08-31T10:57:33-04:00","1"
"1848","CR-Providence","1848","42.346466064453125","-71.06287384033203","9.8","104.0","IN_TRANSIT_TO","2025-08-31T00:32:29-04:00","1"
"1802","CR-Newburyport","1802","42.473751068115234","-70.92255401611328","2.2",,"STOPPED_AT","2025-08-31T11:02:46-04:00","1"
"R-548525ED","Red","1826","42.29076","-71.0653",,"160.0","INCOMING_AT","2025-08-31T01:32:32-04:00","1"
"R-54851DA4","Red","1616","42.37432","-71.1186",,"350.0","STOPPED_AT","2025-08-31T11:02:28-04:00","1"
"R-54852766","Red","1722","42.28456","-71.06382",,"150.0","STOPPED_AT","2025-08-31T01:14:39-04:00","1"
"R-548525EF","Red","1906","42.30002","-71.06183",,"260.0","STOPPED_AT","2025-08-31T00:07:03-04:00","1"
"R-548528EA","Red","1750","42.36246","-71.08581",,"275.0","STOPPED_AT","2025-08-31T10:58:45-04:00","1"
"R-54852830","Red","1833","42.20749","-71.00173",,"10.0","STOPPED_AT","2025-08-31T10:54:59-04:00","1"
"G-10226","Green-D","3673-3821","42.3377","-71.25295","3.3","180.0","IN_TRANSIT_TO","2025-08-31T00:00:15-04:00","1"
"G-10089","Green-D","3805","42.33692","-71.2515",,"135.0","STOPPED_AT","2025-08-31T07:52:36-04:00","1"
"G-10306","Green-D","3651","42.34763","-71.10143",,"60.0","IN_TRANSIT_TO","2025-08-31T00:41:49-04:00","1"
"G-10309","Green-D","3620","42.33544","-71.24841","14.6","315.0","INCOMING_AT","2025-08-31T02:07:54-04:00","1"
"G-10015","Green-D","3709-3837","42.37705","-71.09396",,"300.0","STOPPED_AT","2025-08-31T11:01:59-04:00","1"
